event_id,event_time,user_id,session_id,page_type,product_id,campaign_id,device,browser,session_duration_seconds
1,2022-08-02T07:52:20,,session_38571,product_detail,63,48,mobile,Firefox,473
2,2020-10-19T01:29:19,,session_70273,search,,,tablet,Edge,478
3,2024-11-29T09:37:31,4332,session_70663,search,,,mobile,Chrome,1661
4,2023-03-25T08:22:56,2869,session_43556,category,,,tablet,Samsung Internet,286
5,2020-11-25T11:57:11,,session_88425,product_detail,42,624,tablet,Safari,890
6,2024-09-12T03:16:13,3800,session_41008,cart,,,mobile,Edge,926
7,2020-02-16T22:53:34,,session_58176,category,,,mobile,Safari,756
8,2020-05-22T03:42:57,,session_1097,search,,,tablet,Chrome,751
9,2022-10-21T17:29:28,,session_75943,account,,,mobile,Samsung Internet,427
10,2023-05-31T02:27:46,3269,session_94861,cart,,,mobile,Edge,1407
11,2020-07-06T21:59:05,,session_34365,product_detail,52,,tablet,Samsung Internet,1510
12,2023-11-16T10:51:49,,session_29820,checkout,,,desktop,Edge,170
13,2023-12-03T19:37:47,,session_72194,product_detail,45,,tablet,Firefox,732
14,2020-04-06T03:23:01,,session_29994,home,,,mobile,Chrome,259
15,2021-11-25T07:37:17,2201,session_2022,home,,,desktop,Edge,1442
16,2023-10-18T11:58:27,1086,session_19466,product_detail,35,,mobile,Edge,1133
17,2024-08-18T17:47:54,,session_42966,checkout,,,desktop,Firefox,1188
18,2022-04-12T05:23:25,,session_43267,account,,,mobile,Edge,1697
19,2024-08-27T19:31:50,,session_20728,cart,,,tablet,Chrome,92
20,2021-02-24T00:10:51,,session_22681,product_detail,46,,tablet,Samsung Internet,205
21,2020-04-24T22:10:27,,session_71101,account,,,desktop,Firefox,1198
22,2024-05-21T14:00:51,4254,session_20318,home,,,mobile,Samsung Internet,810
23,2020-11-25T15:43:37,,session_54867,product_detail,25,,tablet,Chrome,301
24,2021-05-04T19:48:35,,session_18820,checkout,,,tablet,Safari,1547
25,2022-07-02T14:12:50,3823,session_55762,account,,,mobile,Chrome,649
26,2021-06-24T15:48:40,,session_56399,cart,,,tablet,Firefox,1126
27,2022-10-04T11:34:04,,session_93410,home,,,mobile,Chrome,84
28,2021-06-05T15:39:59,,session_79791,cart,,,tablet,Safari,496
29,2021-05-30T21:55:56,,session_11539,search,,,mobile,Samsung Internet,911
30,2021-12-29T22:24:10,1122,session_23152,category,,,mobile,Chrome,1290
31,2023-02-05T09:57:04,1614,session_21957,search,,,tablet,Chrome,-1744
32,2030-01-01T00:00:00,,session_95934,search,,,mobile,Edge,1075
33,2023-07-10T16:09:15,,session_53049,product_detail,34,,mobile,Firefox,1582
34,2024-10-22T01:17:47,2738,session_57005,category,,,mobile,Firefox,1662
35,2023-12-22T14:18:40,,session_66807,category,,,mobile,Chrome,1439
36,2024-04-25T09:40:02,,session_3673,category,,,desktop,Firefox,320
37,2020-06-15T03:04:21,,session_23641,product_detail,12,,desktop,Edge,1567
38,2022-11-06T03:54:48,2693,session_55181,checkout,,,desktop,Edge,616
39,2020-12-24T13:20:50,,session_12025,cart,,,tablet,Firefox,1007
40,2022-08-13T04:42:41,,session_78459,search,,,tablet,Chrome,549
41,2021-11-12T22:06:08,1262,session_43015,category,,,mobile,Samsung Internet,731
42,2021-09-25T20:24:07,805,session_36471,search,,,mobile,Edge,1594
43,2024-01-11T18:40:49,1220,session_96157,search,,,desktop,Samsung Internet,488
44,2023-10-29T04:15:43,3737,session_94302,account,,,tablet,Firefox,172
45,2024-01-15T22:21:05,4711,session_97054,checkout,,,tablet,Edge,675
46,2024-03-28T01:21:56,2511,session_86838,search,,,desktop,Samsung Internet,1356
47,2024-11-03T17:19:49,3613,session_45111,category,,,desktop,Samsung Internet,1356
48,2021-12-11T10:21:30,3115,session_34890,account,,,mobile,Safari,239
49,2020-04-10T04:33:16,,session_66538,category,,,,,877
50,2020-04-23T18:01:14,,session_55698,home,,,mobile,Samsung Internet,704
51,2023-05-18T22:56:56,,session_29851,product_detail,53,1126,mobile,Edge,1011
52,2020-03-18T04:50:41,,session_32518,cart,,,tablet,Edge,1434
53,2024-12-11T04:14:56,,session_91239,cart,,,mobile,Chrome,-1734
54,2024-01-08T00:56:44,3582,session_36594,category,,,mobile,Edge,808
55,2024-04-22T22:47:39,,session_46144,account,,,tablet,Edge,1367
56,2021-03-26T13:49:49,,session_77020,cart,,,desktop,Safari,1800
57,2024-02-15T04:42:21,1043,session_14564,home,,,desktop,Samsung Internet,573
58,2021-05-18T16:53:34,1443,session_27783,cart,,,tablet,Firefox,914
59,2020-11-05T22:28:27,,session_65182,product_detail,53,,desktop,Firefox,1433
60,2021-05-28T13:18:16,,session_75627,account,,,mobile,Chrome,993
