transaction_id,user_id,product_id,transaction_date,quantity,price,subtotal,tax,shipping,discount,discount_code,total,payment_method,status,campaign_id,created_at
1,2,29,2024-02-22T00:00:00,1,118,118,9.44,0,0,,127.44,debit_card,completed,,2024-02-22T00:00:00
2,2,46,2024-08-09T00:00:00,1,309,309,24.72,0,0,,333.72,,completed,,2024-08-09T00:00:00
3,2,11,2024-08-28T00:00:00,1,1276,1276,102.08,0,0,,1378.08,credit_card,completed,523,2024-08-28T00:00:00
4,2,46,2024-08-11T00:00:00,1,309,372,29.76,0,0,,401.76,credit_card,completed,,2024-08-11T00:00:00
4,2,27,2024-08-11T00:00:00,1,63,372,29.76,0,0,,401.76,credit_card,completed,,2024-08-11T00:00:00
5,2,28,2024-06-03T00:00:00,1,32,32,2.56,8.0,0,,42.56,apple_pay,completed,790,2024-06-03T00:00:00
6,2,34,2024-04-11T00:00:00,1,70,70,5.6,0,0,,75.6,google_pay,completed,820,2024-04-11T00:00:00
7,2,30,2023-01-19T00:00:00,1,63,63,5.04,0,0,,68.04,,completed,,2023-01-19T00:00:00
8,2,10,2024-07-18T00:00:00,1,1454,1853,148.24,0,0,,2001.24,google_pay,completed,522,2024-07-18T00:00:00
8,2,1,2024-07-18T00:00:00,1,249,1853,148.24,0,0,,2001.24,google_pay,completed,522,2024-07-18T00:00:00
8,2,14,2024-07-18T00:00:00,1,150,1853,148.24,0,0,,2001.24,google_pay,completed,522,2024-07-18T00:00:00
9,2,61,2024-02-29T00:00:00,1,25,63,5.04,0,0,,68.04,paypal,completed,,2024-02-29T00:00:00
9,2,58,2024-02-29T00:00:00,1,38,63,5.04,0,0,,68.04,paypal,completed,,2024-02-29T00:00:00
10,2,51,2024-08-02T00:00:00,1,398,398,31.84,0,0,,429.84,apple_pay,completed,,2024-08-02T00:00:00
11,2,51,2023-09-24T00:00:00,1,398,1411,112.88,0,0,,1523.88,debit_card,completed,62,2023-09-24T00:00:00
11,2,41,2023-09-24T00:00:00,1,394,1411,112.88,0,0,,1523.88,debit_card,completed,62,2023-09-24T00:00:00
11,2,44,2023-09-24T00:00:00,1,375,1411,112.88,0,0,,1523.88,debit_card,completed,62,2023-09-24T00:00:00
11,2,45,2023-09-24T00:00:00,1,244,1411,112.88,0,0,,1523.88,debit_card,completed,62,2023-09-24T00:00:00
12,2,25,2024-01-09T00:00:00,1,38,151,12.08,0,0,,163.08,debit_card,completed,,2024-01-09T00:00:00
12,2,19,2024-01-09T00:00:00,1,113,151,12.08,0,0,,163.08,debit_card,completed,,2024-01-09T00:00:00
13,4,37,2024-02-20T00:00:00,1,252,252,20.16,0,0,,272.16,google_pay,completed,,2024-02-20T00:00:00
