campaign_id,campaign_name,campaign_type,platform,product_id,start_date,end_date,budget,actual_spend,impressions,clicks,created_at
1,Video - TikTok - Feb2020,Video,TikTok,23,2020-02-14,2020-03-07,133969,157842.09,14146347,534465,2020-02-03T00:00:00
2,Video - Twitter - Feb2024,Video,Twitter,13,2024-02-15,2024-03-23,36898,32900.29,16121515,555299,2024-02-05T00:00:00
3,Video - Twitter - Feb2024,Video,Twitter,26,2024-02-15,2024-03-23,36898,32900.29,16121515,555299,2024-02-05T00:00:00
4,Social Media - Instagram - Dec2024,Social Media,Instagram,32,2024-12-22,2025-02-03,15417,17442.95,6403786,230087,2024-12-11T00:00:00
5,Social Media - Instagram - Dec2024,Social Media,Instagram,31,2024-12-22,2025-02-03,15417,17442.95,6403786,230087,2024-12-10T00:00:00
6,Social Media - Instagram - Dec2024,Social Media,Instagram,6,2024-12-22,2025-02-03,15417,17442.95,6403786,230087,2024-12-17T00:00:00
7,Email - TikTok - Oct2024,Email,TikTok,58,2024-10-05,2024-10-23,6779,5758.83,1137085,40644,2024-09-21T00:00:00
8,Email - TikTok - Oct2024,Email,TikTok,33,2024-10-05,2024-10-23,6779,5758.83,1137085,40644,2024-10-04T00:00:00
9,Email - TikTok - Oct2024,Email,TikTok,42,2024-10-05,2024-10-23,6779,5758.83,1137085,40644,2024-09-30T00:00:00
10,Email - TikTok - Oct2024,Email,TikTok,51,2024-10-05,2024-10-23,6779,5758.83,1137085,40644,2024-09-24T00:00:00
11,Email - Facebook - Aug2022,Email,Facebook,21,2022-08-16,2022-10-26,1488,1484.13,396833,8322,2022-08-09T00:00:00
12,Email - Facebook - Aug2022,Email,Facebook,31,2022-08-16,2022-10-26,1488,1484.13,396833,8322,2022-08-07T00:00:00
13,Email - Facebook - Aug2022,Email,Facebook,26,2022-08-16,2022-10-26,1488,1484.13,396833,8322,2022-08-02T00:00:00
14,Email - Facebook - Aug2022,Email,Facebook,46,2022-08-16,2022-10-26,1488,1484.13,396833,8322,2022-08-03T00:00:00
15,Email - Facebook - Aug2022,Email,Facebook,9,2022-08-16,2022-10-26,1488,1484.13,396833,8322,2022-08-15T00:00:00
16,Social Media - YouTube - Jun2020,Social Media,YouTube,30,2020-06-27,2020-09-04,17706,15130.99,2579132,162570,2020-06-17T00:00:00
17,Social Media - YouTube - Jun2020,Social Media,YouTube,42,2020-06-27,2020-09-04,17706,15130.99,2579132,162570,2020-06-17T00:00:00
18,Social Media - YouTube - Jun2020,Social Media,YouTube,18,2020-06-27,2020-09-04,17706,15130.99,2579132,162570,2020-06-19T00:00:00
19,Social Media - YouTube - Jun2020,Social Media,YouTube,2,2020-06-27,2020-09-04,17706,15130.99,2579132,162570,2020-06-20T00:00:00
20,Email - LinkedIn - Jul2020,Email,LinkedIn,7,2020-07-01,2020-09-15,6124,4915.9,899966,32798,2020-06-17T00:00:00
21,Email - LinkedIn - Jul2020,Email,LinkedIn,2,2020-07-01,2020-09-15,6124,4915.9,899966,32798,2020-06-29T00:00:00
22,Email - LinkedIn - Jul2020,Email,LinkedIn,53,2020-07-01,2020-09-15,6124,4915.9,899966,32798,2020-06-25T00:00:00
23,Email - LinkedIn - Jul2020,Email,LinkedIn,40,2020-07-01,2020-09-15,6124,4915.9,899966,32798,2020-06-19T00:00:00
24,Email - LinkedIn - Jul2020,Email,LinkedIn,41,2020-07-01,2020-09-15,6124,4915.9,899966,32798,2020-06-22T00:00:00
25,Display - TikTok - Nov2020,Display,TikTok,1,2020-11-17,2021-02-05,17118,17369.97,8292651,447196,2020-11-04T00:00:00
26,Display - TikTok - Nov2020,Display,TikTok,14,2020-11-17,2021-02-05,17118,17369.97,8292651,447196,2020-11-09T00:00:00
27,Display - TikTok - Nov2020,Display,TikTok,20,2020-11-17,2021-02-05,17118,17369.97,8292651,447196,2020-11-09T00:00:00
28,Display - TikTok - Nov2020,Display,TikTok,56,2020-11-17,2021-02-05,17118,17369.97,8292651,447196,2020-11-04T00:00:00
29,Display - TikTok - Nov2020,Display,TikTok,39,2020-11-17,2021-02-05,17118,17369.97,8292651,447196,2020-11-03T00:00:00
30,Social Media - Twitter - Jul2020,Social Media,Twitter,1,2020-07-26,2020-08-19,22552,23346.23,1894063,94909,2020-07-21T00:00:00
31,Social Media - Twitter - Jul2020,Social Media,Twitter,5,2020-07-26,2020-08-19,22552,23346.23,1894063,94909,2020-07-12T00:00:00
32,Social Media - Twitter - Jul2020,Social Media,Twitter,13,2020-07-26,2020-08-19,22552,23346.23,1894063,94909,2020-07-16T00:00:00
33,Video - LinkedIn - Jan2021,Video,LinkedIn,47,2021-01-02,2021-01-13,10076,10644.49,2375397,107769,2020-12-30T00:00:00
34,Video - LinkedIn - Jan2021,Video,LinkedIn,3,2021-01-02,2021-01-13,10076,10644.49,2375397,107769,2021-01-01T00:00:00
35,Video - LinkedIn - Jan2021,Video,LinkedIn,39,2021-01-02,2021-01-13,10076,10644.49,2375397,107769,2021-01-01T00:00:00
36,Video - LinkedIn - Jan2021,Video,LinkedIn,25,2021-01-02,2021-01-13,10076,10644.49,2375397,107769,2020-12-28T00:00:00
37,Video - LinkedIn - Jan2021,Video,LinkedIn,53,2021-01-02,2021-01-13,10076,10644.49,2375397,107769,2020-12-20T00:00:00
38,Influencer - YouTube - Apr2022,Influencer,YouTube,53,2022-04-01,2022-05-21,40151,29428.94,6375323,12750646,2022-03-23T00:00:00
39,Video - Google - Dec2020,Video,Google,13,2020-12-18,2021-01-05,101395,91719.39,13940491,959297,2020-12-16T00:00:00
40,Video - Google - Dec2020,Video,Google,53,2020-12-18,2021-01-05,101395,91719.39,13940491,959297,2020-12-09T00:00:00
41,Video - Google - Dec2020,Video,Google,32,2020-12-18,2021-01-05,101395,91719.39,13940491,959297,2020-12-16T00:00:00
42,Video - Google - Dec2020,Video,Google,12,2020-12-18,2021-01-05,101395,91719.39,13940491,959297,2020-12-10T00:00:00
43,Video - Google - Dec2020,Video,Google,10,2020-12-18,2021-01-05,101395,91719.39,13940491,959297,2020-12-17T00:00:00
44,Video - Twitter - Jun2022,Video,Twitter,1,2022-06-25,2022-08-19,130128,120019.02,29358960,934492,2022-06-19T00:00:00
45,Video - Twitter - Jun2022,Video,Twitter,7,2022-06-25,2022-08-19,130128,120019.02,29358960,934492,2022-06-19T00:00:00
46,Video - Twitter - Jun2022,Video,Twitter,56,2022-06-25,2022-08-19,130128,120019.02,29358960,934492,2022-06-24T00:00:00
47,Video - Twitter - Jun2022,Video,Twitter,25,2022-06-25,2022-08-19,130128,120019.02,29358960,934492,2022-06-18T00:00:00
48,Video - Twitter - Jun2022,Video,Twitter,63,2022-06-25,2022-08-19,130128,120019.02,29358960,934492,2022-06-13T00:00:00
49,Influencer - Google - Jul2022,Influencer,Google,10,2022-07-01,2022-09-11,10378,9502.97,4733373,216639,2022-06-18T00:00:00
50,Influencer - Google - Jul2022,Influencer,Google,53,2022-07-01,2022-09-11,10378,9502.97,4733373,216639,2022-06-21T00:00:00
51,Influencer - Google - Jul2022,Influencer,Google,42,2022-07-01,2022-09-11,10378,9502.97,4733373,216639,2022-06-30T00:00:00
52,Influencer - Google - Jul2022,Influencer,Google,2,2022-07-01,2022-09-11,10378,9502.97,4733373,216639,2022-06-21T00:00:00
53,Influencer - Google - Jul2022,Influencer,Google,40,2022-07-01,2022-09-11,10378,9502.97,4733373,216639,2022-06-18T00:00:00
54,Video - LinkedIn - Aug2020,Video,LinkedIn,63,2020-08-20,2020-10-25,140317,156826.96,15079241,456588,2020-08-09T00:00:00
55,Video - LinkedIn - Aug2020,Video,LinkedIn,44,2020-08-20,2020-10-25,140317,156826.96,15079241,456588,2020-08-18T00:00:00
56,Social Media - LinkedIn - Jun2024,Social Media,LinkedIn,4,2024-06-08,2024-08-04,41693,36585.45,10296328,647471,2024-06-02T00:00:00
57,Social Media - LinkedIn - Jun2024,Social Media,LinkedIn,58,2024-06-08,2024-08-04,41693,36585.45,10296328,647471,2024-05-27T00:00:00
58,Influencer - Twitter - Apr2022,Influencer,Twitter,23,2022-04-30,2022-06-17,11808,,2791979,56531,2022-04-26T00:00:00
59,Social Media - Instagram - Mar2021,Social Media,Instagram,19,2021-03-02,2021-03-21,26055,21197.65,7179400,118957,2021-02-25T00:00:00
60,Social Media - Instagram - Mar2021,Social Media,Instagram,37,2021-03-02,2021-03-21,26055,21197.65,7179400,118957,2021-02-24T00:00:00
61,Social Media - Instagram - Mar2021,Social Media,Instagram,35,2021-03-02,2021-03-21,26055,21197.65,7179400,118957,2021-02-24T00:00:00
62,Search - Instagram - Sep2023,Search,Instagram,51,2023-09-09,2023-10-05,29306,27158.49,3603371,82508,2023-08-29T00:00:00
63,Search - Instagram - Sep2023,Search,Instagram,3,2023-09-09,2023-10-05,29306,27158.49,3603371,82508,2023-08-31T00:00:00
64,Search - Instagram - Sep2023,Search,Instagram,12,2023-09-09,2023-10-05,29306,27158.49,3603371,82508,2023-09-07T00:00:00
65,Search - Instagram - Sep2023,Search,Instagram,39,2023-09-09,2023-10-05,29306,27158.49,3603371,82508,2023-08-31T00:00:00
66,Search - Instagram - Sep2023,Search,Instagram,4,2023-09-09,2023-10-05,29306,27158.49,3603371,82508,2023-08-31T00:00:00
67,Influencer - LinkedIn - Aug2020,Influencer,LinkedIn,51,2020-08-14,2020-10-14,60789,64667.14,11132766,644266,2020-08-01T00:00:00
68,Influencer - LinkedIn - Aug2020,Influencer,LinkedIn,19,2020-08-14,2020-10-14,60789,64667.14,11132766,644266,2020-08-11T00:00:00
69,Video - YouTube - Sep2024,Video,YouTube,8,2024-09-12,2024-09-21,37482,44800.99,5493629,294124,2024-09-09T00:00:00
70,Video - YouTube - Sep2024,Video,YouTube,2,2024-09-12,2024-09-21,37482,44800.99,5493629,294124,2024-08-30T00:00:00
71,Display - Twitter - Feb2022,Display,Twitter,34,2022-02-08,2022-02-16,8096,7715.18,2994801,87333,2022-02-06T00:00:00
72,Display - Twitter - Feb2022,Display,Twitter,14,2022-02-08,2022-02-16,8096,7715.18,2994801,87333,2022-02-02T00:00:00
73,Search - Instagram - Apr2021,Search,Instagram,36,2021-04-15,2021-06-02,51801,60630.48,19909029,39818058,2021-04-05T00:00:00
74,Search - Instagram - Apr2021,Search,Instagram,57,2021-04-15,2021-06-02,51801,60630.48,19909029,39818058,2021-04-01T00:00:00
75,Search - Instagram - Apr2021,Search,Instagram,29,2021-04-15,2021-06-02,51801,60630.48,19909029,39818058,2021-04-02T00:00:00
76,Search - Instagram - Apr2021,Search,Instagram,48,2021-04-15,2021-06-02,51801,60630.48,19909029,39818058,2021-04-04T00:00:00
77,Search - Instagram - Apr2021,Search,Instagram,62,2021-04-15,2021-06-02,51801,60630.48,19909029,39818058,2021-04-12T00:00:00
